x,y,z,heading,time
378623.52391154965,3853367.8202548106,0,0,0
378623.52391154965,3853367.8202548106,0,0,0
378623.6318114692,3853367.8295464315,0,0,0
378623.6318114692,3853367.8295464315,0,0,0
378623.72334218293,3853367.8570045386,0,0,0
378623.72334218293,3853367.8570045386,0,0,0
378623.81635075225,3853367.8947943533,0,0,0
378623.81635075225,3853367.8947943533,0,0,0
378623.9070957679,3853367.941419424,0,0,0
378623.9070957679,3853367.941419424,0,0,0
378623.9934869248,3853367.978305039,0,0,0
378623.9934869248,3853367.978305039,0,0,0
378624.11070815526,3853368.003893177,0,0,0
378624.11070815526,3853368.003893177,0,0,0
378624.18774751166,3853368.0587518606,0,0,0
378624.18774751166,3853368.0587518606,0,0,0
378624.29872356134,3853368.071783721,0,0,0
378624.29872356134,3853368.071783721,0,0,0
378624.39555153047,3853368.1042549214,0,0,0
378624.39555153047,3853368.1042549214,0,0,0
378624.4825684171,3853368.1406978625,0,0,0
378624.4825684171,3853368.1406978625,0,0,0
378624.5924505776,3853368.170619401,0,0,0
378624.5924505776,3853368.170619401,0,0,0
378624.69870726595,3853368.1955997837,0,0,0
378624.69870726595,3853368.1955997837,0,0,0
378624.7814988285,3853368.250987632,0,0,0
378624.7814988285,3853368.250987632,0,0,0
378624.8992968912,3853368.266590256,0,0,0
378624.8992968912,3853368.266590256,0,0,0
378625.0004363441,3853368.294040512,0,0,0
378625.0004363441,3853368.294040512,0,0,0
378625.10172552936,3853368.3283563866,0,0,0
378625.10172552936,3853368.3283563866,0,0,0
378625.2163045388,3853368.3515884136,0,0,0
378625.2163045388,3853368.3515884136,0,0,0
378625.32335052936,3853368.373013187,0,0,0
378625.32335052936,3853368.373013187,0,0,0
378625.4197336873,3853368.400235063,0,0,0
378625.4197336873,3853368.400235063,0,0,0
378625.52741582657,3853368.4327239906,0,0,0
378625.52741582657,3853368.4327239906,0,0,0
378625.6152238615,3853368.46578858,0,0,0
378625.6152238615,3853368.46578858,0,0,0
378625.71902428713,3853368.4891976533,0,0,0
378625.71902428713,3853368.4891976533,0,0,0
378625.8205037266,3853368.5142579754,0,0,0
378625.8205037266,3853368.5142579754,0,0,0
378625.92616318364,3853368.5510956533,0,0,0
378625.92616318364,3853368.5510956533,0,0,0
378626.0266895583,3853368.584786983,0,0,0
378626.0266895583,3853368.584786983,0,0,0
378626.12760165805,3853368.6066909595,0,0,0
378626.12760165805,3853368.6066909595,0,0,0
378626.22467557195,3853368.6367514124,0,0,0
378626.22467557195,3853368.6367514124,0,0,0
378626.331536851,3853368.6674157022,0,0,0
378626.331536851,3853368.6674157022,0,0,0
378626.43975955795,3853368.6912013553,0,0,0
378626.43975955795,3853368.6912013553,0,0,0
378626.535526752,3853368.7255181335,0,0,0
378626.535526752,3853368.7255181335,0,0,0
378626.6550692961,3853368.7446676395,0,0,0
378626.6550692961,3853368.7446676395,0,0,0
378626.750593744,3853368.7812413527,0,0,0
378626.750593744,3853368.7812413527,0,0,0
378626.8481111762,3853368.812020717,0,0,0
378626.8481111762,3853368.812020717,0,0,0
378626.95214206737,3853368.8392313775,0,0,0
378626.95214206737,3853368.8392313775,0,0,0
378627.05578460346,3853368.863440445,0,0,0
378627.05578460346,3853368.863440445,0,0,0
378627.157350256,3853368.896692705,0,0,0
378627.157350256,3853368.896692705,0,0,0
378627.2553910144,3853368.9298907598,0,0,0
378627.2553910144,3853368.9298907598,0,0,0
378627.36842379835,3853368.9602945107,0,0,0
378627.36842379835,3853368.9602945107,0,0,0
378627.4678093523,3853368.99243727,0,0,0
378627.4678093523,3853368.99243727,0,0,0
378627.57235579443,3853369.02088727,0,0,0
378627.57235579443,3853369.02088727,0,0,0
378627.6833095002,3853369.0398550592,0,0,0
378627.6833095002,3853369.0398550592,0,0,0
378627.7719970427,3853369.083749745,0,0,0
378627.7719970427,3853369.083749745,0,0,0
378627.869402777,3853369.115640263,0,0,0
378627.869402777,3853369.115640263,0,0,0
378627.9721363054,3853369.1484755427,0,0,0
378627.9721363054,3853369.1484755427,0,0,0
378628.0741405322,3853369.1828538165,0,0,0
378628.0741405322,3853369.1828538165,0,0,0
378628.18375199725,3853369.2027143165,0,0,0
378628.18375199725,3853369.2027143165,0,0,0
378628.28891873657,3853369.228311479,0,0,0
378628.28891873657,3853369.228311479,0,0,0
378628.3950198518,3853369.2642886336,0,0,0
378628.3950198518,3853369.2642886336,0,0,0
378628.50557761395,3853369.2942517768,0,0,0
378628.50557761395,3853369.2942517768,0,0,0
378628.59924767143,3853369.334019647,0,0,0
378628.59924767143,3853369.334019647,0,0,0
378628.7002102427,3853369.3789806324,0,0,0
378628.7002102427,3853369.3789806324,0,0,0
378628.81367195747,3853369.4018574785,0,0,0
378628.81367195747,3853369.4018574785,0,0,0
378628.9112570647,3853369.431851103,0,0,0
378628.9112570647,3853369.431851103,0,0,0
378629.0187123512,3853369.4634219673,0,0,0
378629.0187123512,3853369.4634219673,0,0,0
378629.1144542751,3853369.481807634,0,0,0
378629.1144542751,3853369.481807634,0,0,0
378629.209741023,3853369.528026258,0,0,0
378629.209741023,3853369.528026258,0,0,0
378629.3188114161,3853369.565870134,0,0,0
378629.3188114161,3853369.565870134,0,0,0
378629.42487526964,3853369.601833483,0,0,0
378629.42487526964,3853369.601833483,0,0,0
378629.52951114485,3853369.632131704,0,0,0
